name	taxonomy_id	taxonomy_lvl	Superkingdom	Kingdom	Phylum	Class	Order	5MMH_5_pct_reads	6PEH_6_pct_reads	SVH11_Q11_pct_reads
Tolypothrichaceae	119859	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	0.0010	0.0010	0.0090
Rivulariaceae	1185	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	0.0010	0.0000	0.0020
Chlorogloeopsidaceae	1892261	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nostocales	0.0010	0.0020	0.0000
Geminocystaceae	2815910	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	0.0220	0.0290	0.0270
Aphanothecaceae	1890450	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	0.0150	0.0230	0.0330
Microcystaceae	1890449	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	0.0040	0.0010	0.0010
Halothecacae	3079756	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	0.0030	0.0020	0.0050
Chroococcaceae	1890464	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcales	0.0020	0.0000	0.0000
Microcoleaceae	1892252	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Oscillatoriales	0.0090	0.0170	0.0120
Oscillatoriaceae	1892254	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Oscillatoriales	0.0070	0.0090	0.0210
Sirenicapillariaceae	2934961	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Oscillatoriales	0.0020	0.0010	0.0010
Prochlorococcaceae	2881426	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Synechococcales	0.0260	0.0470	0.0330
Synechococcaceae	1890426	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Synechococcales	0.0250	0.0160	0.0100
Merismopediaceae	1890428	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Synechococcales	0.0040	0.0000	0.0010
Leptolyngbyaceae	1890438	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Leptolyngbyales	0.0120	0.0020	0.0050
Trichocoleusaceae	2303527	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Leptolyngbyales	0.0010	0.0000	0.0000
Thermosynechococcaceae	2881378	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Acaryochloridales	0.0050	0.0000	0.0020
Acaryochloridaceae	1890429	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Acaryochloridales	0.0040	0.0000	0.0010
Pseudanabaenaceae	1890436	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	0.0080	0.0010	0.0030
Thalassoporaceae	3079743	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Pseudanabaenales	0.0000	0.0020	0.0000
Pleurocapsaceae	1890500	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Pleurocapsales	0.0040	0.0040	0.0050
Dermocarpellaceae	1890498	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Pleurocapsales	0.0020	0.0010	0.0010
Oculatellaceae	2303507	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Oculatellales	0.0040	0.0030	0.0010
Gomontiellaceae	1892255	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Gomontiellales	0.0020	0.0030	0.0020
Chamaesiphonaceae	1890431	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Gomontiellales	0.0010	0.0000	0.0000
Coleofasciculaceae	1892251	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Coleofasciculales	0.0030	0.0000	0.0010
Chroococcidiopsidaceae	1890528	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Chroococcidiopsidales	0.0030	0.0100	0.0050
Cymatolegaceae	3079746	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nodosilineales	0.0020	0.0000	0.0000
Nodosilineaceae	3039986	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Nodosilineales	0.0010	0.0000	0.0000
Gloeomargaritaceae	1955043	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Gloeomargaritales	0.0020	0.0000	0.0010
Gloeobacteraceae	1890422	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Gloeobacterales	0.0010	0.0000	0.0010
Anthocerotibacteraceae	3079741	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Gloeobacterales	0.0000	0.0000	0.0000
Desertifilaceae	1969992	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Desertifilales	0.0010	0.0000	0.0010
Geitlerinemataceae	3079752	F	Bacteria	Bacillati	Cyanobacteriota	Cyanophyceae	Geitlerinematales	0.0070	0.0000	0.0070
